MGI:105074	Slc9a4
MGI:105075	Slc9a2
MGI:105076	t
MGI:105081	Tes
MGI:105082	Ssr1
MGI:105083	Slc1a1
MGI:105084	Satb1
MGI:105085	Rbl2
MGI:105086	Pou2af1
MGI:105088	Ntn1
MGI:105089	Hsd17b4
MGI:105090	Slc6a5
MGI:105091	E2f5
MGI:105093	Cnn2
MGI:105094	Adcyap1
MGI:105095	Pgf
MGI:105097	Efnb2
MGI:105098	Ube3a
MGI:105099	Pcolce
MGI:105100	Ctnnd1
MGI:105102	Gpx3
MGI:105107	P2ry2
MGI:105112	Hpx
MGI:105115	Ctf1
MGI:105119	Gucy2f
MGI:105120	Dusp1
MGI:105121	Atf6b
MGI:105123	Gucy2e
MGI:105126	Rad23a
MGI:105128	Rad23b
MGI:105303	Cxcr2
MGI:105304	Il6ra
MGI:105306	Rab5c
MGI:105307	Ptpn3
MGI:105308	Pnoc
MGI:105311	Efs
MGI:105313	Cit
MGI:105315	rsl
MGI:105367	Il4ra
MGI:105368	Atp2b2
MGI:105369	Cbx1
MGI:105370	Bst1
MGI:105371	Spock1
MGI:105372	Sstr4
MGI:105373	Ptch1
MGI:105374	Npy4r
MGI:105376	Adam9
MGI:105377	Adam19
MGI:105378	Adam12
MGI:105380	Mcm2
MGI:105381	Rpsa
MGI:105382	Lama5
MGI:105383	Il18r1
MGI:105386	Dbt
MGI:105387	Cdkn2d
MGI:105388	Cdkn2c
MGI:105393	Dmc1
MGI:105492	Lair1
MGI:105917	Fer
MGI:105923	Ednra
MGI:105925	Cdo1
MGI:105931	Sycp1
MGI:105932	Inhbc
MGI:105933	Rab3ip
MGI:105937	Cfi
MGI:105940	Renbp
MGI:105941	Mpp1
MGI:105944	Lbw6
MGI:105950	Mobq4
MGI:105951	Mobq3
MGI:105952	Lbw8
MGI:105953	Hfm
MGI:105954	Tlsm1
MGI:105955	Sle3
MGI:105956	Pde6c
MGI:105957	Lbw5
MGI:105960	Lbw4
MGI:105961	Lbw3
MGI:105963	Sle2
MGI:105964	Sbw2
MGI:105965	Lbw2
MGI:105966	Imm1
MGI:105967	Imh1
MGI:105969	Sle1
MGI:105970	Sbw1
MGI:105971	Lbw7
MGI:105975	Cfb
MGI:105976	Myo5a
MGI:105979	G6pdx
MGI:105980	Cntn1
MGI:105982	Rfx1
MGI:105984	Adam24
MGI:105986	Adam18
MGI:105989	Eae3
MGI:105991	Eae1
MGI:105992	Tkt
MGI:105994	Eae2
MGI:106008	Anxa5
MGI:106010	Hcs7
MGI:106011	St8sia1
MGI:106012	Tagln
MGI:106016	Tra2b
MGI:106018	St8sia4
MGI:106020	St8sia2
MGI:106025	Gucy2g
MGI:106028	Rhoc
MGI:106030	Gucy2d
MGI:106032	Tfap2c
MGI:106034	Six4
MGI:106036	Lrrn3
MGI:106037	Lrrn2
MGI:106038	Lrrn1
MGI:106039	Dtna
MGI:106040	Cyp51
MGI:106054	Psmc1
MGI:106065	Ppm1g
MGI:106066	Ptafr
MGI:106091	Cyp7a1
MGI:106093	Lrdm2
MGI:106095	Naca
MGI:106096	Loxl1
MGI:106097	Lrdm1
MGI:106179	Shc3
MGI:106180	Shc2
MGI:106181	Mybbp1a
MGI:106183	Ocln
MGI:106184	Npm1
MGI:106185	Ccr2
MGI:106188	Gstt2
MGI:106190	Bcl11a
MGI:106199	Vegfb
MGI:106202	Spink3
MGI:106203	Skil
MGI:106206	Nrp1
MGI:106207	Mnat1
MGI:106209	Hells
MGI:106210	Dmbt1
MGI:106211	Cdc42
MGI:106212	Chrnb3
MGI:106213	Chrna6
MGI:106215	Aqp5
MGI:106217	Cacna1e
MGI:106220	Six5
MGI:106221	Capza3
MGI:106228	Scc2
MGI:106244	Tspyl2
MGI:106247	Prpf19
MGI:106299	Slx4
MGI:106334	Rgs7bp
MGI:106351	Fam104a
MGI:106362	Sco1
MGI:106368	Rbfox3
MGI:106442	Vkorc1
MGI:106512	Pnrc2
MGI:106530	D3Bwg0562e
MGI:106544	D2Wsu81e
MGI:106576	Chpf
MGI:106581	Tsg101
MGI:106582	Rfx3
MGI:106584	pgtr
MGI:106586	Omg
MGI:106588	Lag3
MGI:106589	Hivep3
MGI:106590	Has1
MGI:106591	Matn1
MGI:106593	Neurod6
MGI:106594	Gyk
MGI:106601	Prm3
MGI:106603	Serpinb9
MGI:106609	Gpx2
MGI:106612	Myo1c
MGI:106613	Dvl2
MGI:106618	Tpgs1
MGI:106621	Myo1e
MGI:106624	Myo9b
MGI:106633	Phox2a
MGI:106639	Mthfr
MGI:106640	Lyr2
MGI:106644	Efna3
MGI:106645	Enpep
MGI:106648	Olfr16
MGI:106651	Ly6e
MGI:106652	Trove2
MGI:106653	Epcam
MGI:106656	Zan
MGI:106657	Trim21
MGI:106658	Srf
MGI:106661	Ovgp1
MGI:106662	Ly75
MGI:106664	Cd93
MGI:106672	Cdh15
MGI:106673	Adra1d
MGI:106675	Adipoq
MGI:106676	Zic3
MGI:106677	Slc18a2
MGI:106679	Zic2
MGI:106683	Zic1
MGI:106684	Slc18a1
MGI:106686	Pon3
MGI:106687	Pon2
MGI:106689	Selplg
MGI:106903	Gucy2c
MGI:106907	Tead4
MGI:106911	Hccs
MGI:106912	Emr1
MGI:106913	Abi2
MGI:106916	Msra
MGI:106918	Hif1a
MGI:106919	Vdac1
MGI:106920	Tmpo
MGI:106921	Scn2b
MGI:106922	Vdac3
MGI:106923	Tll1
MGI:106925	Cldn11
MGI:106926	Mttp
MGI:106927	Aff3
MGI:107157	Sin3a
MGI:107158	Sin3b
MGI:107159	Hmx2
MGI:107160	Hmx3
MGI:107161	Cst8
MGI:107163	Ppp3cb
MGI:107164	Ppp3ca
MGI:107166	Vipr2
MGI:107168	Aurkb
MGI:107170	Ptpn22
MGI:107172	Ppp3r1
MGI:107173	Serpinf2
MGI:107178	Hmx1
MGI:107179	Fosl1
MGI:107180	Elf1
MGI:107181	Slc26a3
MGI:107182	Ccr5
MGI:107187	Bcl6
MGI:107188	Arnt2
MGI:107189	Ahsg
MGI:107191	Bmpr1b
MGI:107193	Gpr143
MGI:107201	Zic4
MGI:107202	Atm
MGI:107207	Coq7
MGI:107227	Gtf2h5
MGI:107231	Dlg1
MGI:107246	Tinf2
MGI:107252	Nsun2
MGI:107283	Rab6b
MGI:107285	Ctsh
MGI:107286	Man2b1
MGI:107307	Ing4
MGI:107321	Cux2
MGI:107335	Bmp8b
MGI:107339	Gfm1
MGI:107341	Ctss
MGI:107357	Inpp5d
MGI:107361	Ctse
MGI:107362	Stxbp3a
MGI:107363	Stxbp1
MGI:107364	Il17a
MGI:107365	Ube2i
MGI:107370	Stxbp2
MGI:107373	Dnajc3
MGI:107374	Pitx1
MGI:107375	Pctp
MGI:107376	Msi1
MGI:107379	Gstt1
MGI:107381	Epha1
MGI:107384	Dnm1
MGI:107387	Aqp4
MGI:107399	Il17ra
MGI:107403	Clk1
